time, camera_x, camera_y, camera_z, lookat_x, lookat_y, lookat_z
0.0, 0, 10, 300, 0, 0, 0
10.0, -141.4213562373095, 10, 282.842712474619, 0, 0, 0
20.0, -212.1320343559643, 10, 212.1320343559643, 0, 0, 0
30.0, -282.842712474619, 10, 141.4213562373095, 0, 0, 0
40.0, -300, 10, 0, 0, 0, 0
50.0, -282.842712474619, 10, -141.4213562373095, 0, 0, 0
60.0, -212.1320343559643, 10, -212.1320343559643, 0, 0, 0
70.0, -141.4213562373095, 10, -282.842712474619, 0, 0, 0
80.0, 0, 10, -300, 0, 0, 0
90.0, 141.4213562373095, 10, -282.842712474619, 0, 0, 0
100.0, 212.1320343559643, 10, -212.1320343559643, 0, 0, 0
110.0, 282.842712474619, 10, -141.4213562373095, 0, 0, 0
120.0, 300, 10, 0, 0, 0, 0
130.0, 282.842712474619, 10, 141.4213562373095, 0, 0, 0
140.0, 212.1320343559643, 10, 212.1320343559643, 0, 0, 0
150.0, 141.4213562373095, 10, 282.842712474619, 0, 0, 0
160.0, 0, 10, 300, 0, 0, 0
170.0, -141.4213562373095, 10, 282.842712474619, 0, 0, 0
180.0, -212.1320343559643, 10, 212.1320343559643, 0, 0, 0
190.0, -282.842712474619, 10, 141.4213562373095, 0, 0, 0
200.0, -300, 10, 0, 0, 0, 0
210.0, -282.842712474619, 10, -141.4213562373095, 0, 0, 0
220.0, -212.1320343559643, 10, -212.1320343559643, 0, 0, 0
230.0, -141.4213562373095, 10, -282.842712474619, 0, 0, 0
240.0, 0, 10, -300, 0, 0, 0
250.0, 141.4213562373095, 10, -282.842712474619, 0, 0, 0
260.0, 212.1320343559643, 10, -212.1320343559643, 0, 0, 0
270.0, 282.842712474619, 10, -141.4213562373095, 0, 0, 0
280.0, 300, 10, 0, 0, 0, 0
290.0, 282.842712474619, 10, 141.4213562373095, 0, 0, 0
300.0, 212.1320343559643, 10, 212.1320343559643, 0, 0, 0
310.0, 141.4213562373095, 10, 282.842712474619, 0, 0, 0
320.0, 0, 10, 300, 0, 0, 0
330.0, -141.4213562373095, 10, 282.842712474619, 0, 0, 0
